,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,14627,HILTON-EQ,HILTON,,-1.000000,1,,NSE,5.000000
2,11821,WELCORP-EQ,WELCORP,,-1.000000,1,,NSE,5.000000
3,14245,TVSSRICHAK-EQ,TVSSRICHAK,,-1.000000,1,,NSE,5.000000
4,5606,INTLCONV-EQ,INTLCONV,,-1.000000,1,,NSE,5.000000
5,15278,ONMOBILE-EQ,ONMOBILE,,-1.000000,1,,NSE,5.000000
6,13285,M&MFIN-EQ,M&MFIN,,-1.000000,1,,NSE,5.000000
7,13496,PFOCUS-EQ,PFOCUS,,-1.000000,1,,NSE,5.000000
8,7679,MONARCH-EQ,MONARCH,,-1.000000,1,,NSE,5.000000
9,20877,PSPPROJECT-EQ,PSPPROJECT,,-1.000000,1,,NSE,5.000000
10,14947,MOTILALOFS-EQ,MOTILALOFS,,-1.000000,1,,NSE,5.000000
11,7145,ANANDRATHI-EQ,ANANDRATHI,,-1.000000,1,,NSE,5.000000
12,13710,FIEMIND-EQ,FIEMIND,,-1.000000,1,,NSE,5.000000
13,14043,SARLAPOLY-EQ,SARLAPOLY,,-1.000000,1,,NSE,5.000000
14,7376,HPAL-EQ,HPAL,,-1.000000,1,,NSE,5.000000
15,11319,LICNETFN50-EQ,LICNETFN50,,-1.000000,1,,NSE,1.000000
16,11355,PTC-EQ,PTC,,-1.000000,1,,NSE,5.000000
17,24781,BSLNIFTY-EQ,BSLNIFTY,,-1.000000,1,,NSE,1.000000
18,11549,TEXINFRA-EQ,TEXINFRA,,-1.000000,1,,NSE,5.000000
19,19731,GPPL-EQ,GPPL,,-1.000000,1,,NSE,5.000000
20,25414,SETUINFRA-EQ,SETUINFRA,,-1.000000,1,,NSE,5.000000
21,19292,TERASOFT-EQ,TERASOFT,,-1.000000,1,,NSE,5.000000
22,2717,PRECWIRE-EQ,PRECWIRE,,-1.000000,1,,NSE,5.000000
23,21957,INDTERRAIN-EQ,INDTERRAIN,,-1.000000,1,,NSE,5.000000
24,17256,ALBERTDAVD-EQ,ALBERTDAVD,,-1.000000,1,,NSE,5.000000
25,18422,ASIANHOTNR-EQ,ASIANHOTNR,,-1.000000,1,,NSE,5.000000
26,5911,PARAS-EQ,PARAS,,-1.000000,1,,NSE,5.000000
27,13572,MANUGRAPH-EQ,MANUGRAPH,,-1.000000,1,,NSE,5.000000
28,1814,KALPATPOWR-EQ,KALPATPOWR,,-1.000000,1,,NSE,5.000000
29,10578,MPSLTD-EQ,MPSLTD,,-1.000000,1,,NSE,5.000000
30,381,SINTERCOM-EQ,SINTERCOM,,-1.000000,1,,NSE,5.000000
31,14086,IGPL-EQ,IGPL,,-1.000000,1,,NSE,5.000000
32,13061,IIFLWAM-EQ,IIFLWAM,,-1.000000,1,,NSE,5.000000
33,10693,MOMENTUM-EQ,MOMENTUM,,-1.000000,1,,NSE,1.000000
34,10406,STEELCITY-EQ,STEELCITY,,-1.000000,1,,NSE,5.000000
35,13367,SGL-EQ,SGL,,-1.000000,1,,NSE,5.000000
36,13376,UTTAMSUGAR-EQ,UTTAMSUGAR,,-1.000000,1,,NSE,5.000000
37,24391,DELPHIFX-EQ,DELPHIFX,,-1.000000,1,,NSE,5.000000
38,20072,INFRABEES-EQ,INFRABEES,,-1.000000,1,,NSE,1.000000
39,17641,SUNTECK-EQ,SUNTECK,,-1.000000,1,,NSE,5.000000
40,14296,SEQUENT-EQ,SEQUENT,,-1.000000,1,,NSE,5.000000
41,28906,MAYURUNIQ-EQ,MAYURUNIQ,,-1.000000,1,,NSE,5.000000
42,14208,TV18BRDCST-EQ,TV18BRDCST,,-1.000000,1,,NSE,5.000000
43,14932,ISMTLTD-EQ,ISMTLTD,,-1.000000,1,,NSE,5.000000
44,425,KHADIM-EQ,KHADIM,,-1.000000,1,,NSE,5.000000
45,9087,PIXTRANS-EQ,PIXTRANS,,-1.000000,1,,NSE,5.000000
46,5200,GRAUWEIL-EQ,GRAUWEIL,,-1.000000,1,,NSE,5.000000
